did,handle,canonical_url,a_rkey,a_created_at,a_text,b_rkey,b_created_at,b_text,gap_hours,text_jaccard,offline_core_jaccard,offline_core_sequence,offline_gap_hours,selected_target,target_flags,a_uri,b_uri,a_text_live,b_text_live,a_created_at_live,b_created_at_live,gap_hours_live,core_jaccard_live,core_sequence_live,a_reposts,b_reposts,winner_reposts,loser_reposts,repost_margin,winner_loser_ratio,repost_winner,decisive_outcome,a_likes,b_likes,a_quotes,b_quotes,reasons
did:plc:jyhnnepeeg2ola7fkgt2yjln,floodlightnews.org,floodlightnews.org/new-jersey-data-center-federal-violation,3mu346btmye2j,2026-08-27T14:55:55Z,"One of East Coast’s largest data centers accused of ‘violating federal law’
🗞️ floodlightnews.org/new-jersey-d...",3mu3bte5xnt2t,2026-08-27T16:37:11Z,"NEW: Thermal drone footage shows the Microsoft-backed DataOne AI data center in Vineland, NJ is running dozens of gas generators.

None of them have permits.

A Floodlight visual investigation with @us.theguardian.com:",1.69,0.0638,0.0682,0.3514,1.6878,floodlightnews.org/new-jersey-data-center-federal-violation,,at://did:plc:jyhnnepeeg2ola7fkgt2yjln/app.bsky.feed.post/3mu346btmye2j,at://did:plc:jyhnnepeeg2ola7fkgt2yjln/app.bsky.feed.post/3mu3bte5xnt2t,"One of East Coast’s largest data centers accused of ‘violating federal law’
🗞️ floodlightnews.org/new-jersey-d...","NEW: Thermal drone footage shows the Microsoft-backed DataOne AI data center in Vineland, NJ is running dozens of gas generators.

None of them have permits.

A Floodlight visual investigation with @us.theguardian.com:",2026-08-27T14:55:55.184000+00:00,2026-08-27T16:37:11.013000+00:00,1.6877,0.0682,0.3514,1,1203,1203,1,1202,1203.0,B,1,5,2389,2,178,
did:plc:qobvnkudcv3zlaklxxjduqoi,motherjones.com,motherjones.com/politics/2026/08/karen-attiah-washington-post-charlie-kirk-reinstated,3mu2xfdrpky2r,2026-08-27T13:30:21Z,"""Without the union, you’re naked. You have no protection."" 

How @karenattiah.bsky.social fought the Washington Post—and won",3mu3bowqcbc2j,2026-08-27T16:34:43Z,"“The Charlie Kirk situation caused … institutions to completely have this meltdown of cowardice, fear, temporary insanity. Now, they’re facing the year-long Charlie Kirk hangover.""",3.07,0.0789,0.0857,0.3498,3.0728,motherjones.com/politics/2026/08/karen-attiah-washington-post-charlie-kirk-reinstated,,at://did:plc:qobvnkudcv3zlaklxxjduqoi/app.bsky.feed.post/3mu2xfdrpky2r,at://did:plc:qobvnkudcv3zlaklxxjduqoi/app.bsky.feed.post/3mu3bowqcbc2j,"""Without the union, you’re naked. You have no protection."" 

How @karenattiah.bsky.social fought the Washington Post—and won","“The Charlie Kirk situation caused … institutions to completely have this meltdown of cowardice, fear, temporary insanity. Now, they’re facing the year-long Charlie Kirk hangover.""",2026-08-27T13:30:21.490000+00:00,2026-08-27T16:34:43.873000+00:00,3.0729,0.0857,0.3498,48,364,364,48,316,7.5833,B,1,248,1335,2,13,
did:plc:cfqyyqvek7thvj7qbtbr5gbr,vegaparticular.bsky.social,secure.avaaz.org/community_petitions/en/ayuntamiento_de_baldellou_cancelacion_urgente_festival_own_spirit,3mu2mp27ebk2n,2026-08-27T10:18:58Z,"Por favor, si podéis firmar esto os lo agradecería. Es un festival para recreo de g3nocid4s y encima, en el Pirineo que sigue ardiendo. 

secure.avaaz.org/community_pe...",3mu2qkxinck23,2026-08-27T11:28:16Z,"Si además de firmar enviáis un correo al INAGA (Instituto de Gestión Ambiental de Aragón) la tierra os lo agradecerá. Ya paramos entre todos un festival parecido en público y organización -Festival Sizigia-

inaga@aragon.es

secure.avaaz.org/community_pe...",1.15,0.3000,0.2708,0.0419,1.155,secure.avaaz.org/community_petitions/en/ayuntamiento_de_baldellou_cancelacion_urgente_festival_own_spirit,,at://did:plc:cfqyyqvek7thvj7qbtbr5gbr/app.bsky.feed.post/3mu2mp27ebk2n,at://did:plc:cfqyyqvek7thvj7qbtbr5gbr/app.bsky.feed.post/3mu2qkxinck23,"Por favor, si podéis firmar esto os lo agradecería. Es un festival para recreo de g3nocid4s y encima, en el Pirineo que sigue ardiendo. 

secure.avaaz.org/community_pe...","Si además de firmar enviáis un correo al INAGA (Instituto de Gestión Ambiental de Aragón) la tierra os lo agradecerá. Ya paramos entre todos un festival parecido en público y organización -Festival Sizigia-

inaga@aragon.es

secure.avaaz.org/community_pe...",2026-08-27T10:18:58.933000+00:00,2026-08-27T11:28:16.842000+00:00,1.155,0.2708,0.0419,341,9,341,9,332,37.8889,A,1,272,8,22,0,
did:plc:sblju4a66qwthmosnm4m7k4e,charlesornstein.bsky.social,propublica.org/article/immigrants-rebooking-ice-jails-florida,3mu34ufg6ec2s,2026-08-27T15:08:18Z,IMPORTANT NEW STORY: These Local Jails Were Supposed to Detain Immigrants for Only 72 Hours. One Woman Was Held for a Total of 26 Days. @marioarizabaez.bsky.social @hannahbeckler.bsky.social @libbyseline.bsky.social,3mu3536n23s2u,2026-08-27T15:12:06Z,"This is wild. In late 2025, federal and state officials kept a Mexican woman in custody for almost a month by repeatedly rebooking her just before her 72-hour time limit ran out. www.propublica.org/article/immi...",0.06,0.0667,0.08,0.3127,0.0633,propublica.org/article/immigrants-rebooking-ice-jails-florida,,at://did:plc:sblju4a66qwthmosnm4m7k4e/app.bsky.feed.post/3mu34ufg6ec2s,at://did:plc:sblju4a66qwthmosnm4m7k4e/app.bsky.feed.post/3mu3536n23s2u,IMPORTANT NEW STORY: These Local Jails Were Supposed to Detain Immigrants for Only 72 Hours. One Woman Was Held for a Total of 26 Days. @marioarizabaez.bsky.social @hannahbeckler.bsky.social @libbyseline.bsky.social,"This is wild. In late 2025, federal and state officials kept a Mexican woman in custody for almost a month by repeatedly rebooking her just before her 72-hour time limit ran out. www.propublica.org/article/immi...",2026-08-27T15:08:18.331000+00:00,2026-08-27T15:12:06.098000+00:00,0.0633,0.08,0.3127,16,336,336,16,320,21.0,B,1,29,663,0,25,
did:plc:3qlbh4vywekida64m3dvna37,komainukiratazaka.bsky.social,news.jp/i/1425310523326824480,3mu277n42ik2w,2026-08-27T06:17:43Z,"『真実が語られるのが重要だ』と言い、『こういうことが起きた』とみんなが承認できる事実認定があれば、市民は前進できる

news.jp/i/1425310523...",3mu2a4emv7s2w,2026-08-27T06:33:47Z,"『戦争犯罪を罰しなければ国民は過去の犯罪を忘れず、過去に生きることになる。犯罪に対処すれば、国の再建を始められる』

日本がまさにそうなっている。
太平洋戦争の戦争犯罪にきちんと向き合わなかったから、80年経ったのにまだ大日本帝国のままだ。

news.jp/i/1425310523...",0.27,0.2500,0.25,0.2453,0.2678,news.jp/i/1425310523326824480,,at://did:plc:3qlbh4vywekida64m3dvna37/app.bsky.feed.post/3mu277n42ik2w,at://did:plc:3qlbh4vywekida64m3dvna37/app.bsky.feed.post/3mu2a4emv7s2w,"『真実が語られるのが重要だ』と言い、『こういうことが起きた』とみんなが承認できる事実認定があれば、市民は前進できる

news.jp/i/1425310523...","『戦争犯罪を罰しなければ国民は過去の犯罪を忘れず、過去に生きることになる。犯罪に対処すれば、国の再建を始められる』

日本がまさにそうなっている。
太平洋戦争の戦争犯罪にきちんと向き合わなかったから、80年経ったのにまだ大日本帝国のままだ。

news.jp/i/1425310523...",2026-08-27T06:17:43.218000+00:00,2026-08-27T06:33:47.426000+00:00,0.2678,0.25,0.2453,1,124,124,1,123,124.0,B,1,7,204,0,1,
did:plc:mpfh5hnnqfowzzfb7sbutv3i,offinvestigation.bsky.social,off-investigation.fr/jeffrey-epstein-predateur-sexuel-et-espion,3mu2inbycas2j,2026-08-27T09:06:25Z,"Emmanuel Macron, Yaël Braun-Pivet et Gérard Larcher minimisent le scandale Epstein. OFF a enquêté sur les relations embarrassantes du prédateur sexuel américain avec le monde du renseignement. C’est notre nouveau docu : « Epstein, prédateur et espion ». ⤵️",3mu2vykm3xs2x,2026-08-27T13:05:21Z,"🗣️ ""Il y a en France une sorte de culture du viol""

De Jack Lang à la banquière Ariane de Rothschild, en passant par un ancien conseiller de Nicolas Sarkozy, découvrez les VIP français qui fréquentaient Jeffrey Epstein.

🎬 « EPSTEIN, prédateur et espion »
➡️ off-investigation.fr/jeffrey-epst...",3.98,0.1250,0.125,0.0117,3.9822,off-investigation.fr/jeffrey-epstein-predateur-sexuel-et-espion,,at://did:plc:mpfh5hnnqfowzzfb7sbutv3i/app.bsky.feed.post/3mu2inbycas2j,at://did:plc:mpfh5hnnqfowzzfb7sbutv3i/app.bsky.feed.post/3mu2vykm3xs2x,"Emmanuel Macron, Yaël Braun-Pivet et Gérard Larcher minimisent le scandale Epstein. OFF a enquêté sur les relations embarrassantes du prédateur sexuel américain avec le monde du renseignement. C’est notre nouveau docu : « Epstein, prédateur et espion ». ⤵️","🗣️ ""Il y a en France une sorte de culture du viol""

De Jack Lang à la banquière Ariane de Rothschild, en passant par un ancien conseiller de Nicolas Sarkozy, découvrez les VIP français qui fréquentaient Jeffrey Epstein.

🎬 « EPSTEIN, prédateur et espion »
➡️ off-investigation.fr/jeffrey-epst...",2026-08-27T09:06:25.016000+00:00,2026-08-27T13:05:21.795000+00:00,3.9824,0.125,0.0117,113,17,113,17,96,6.6471,A,1,150,26,5,0,
did:plc:t57zckxuo4v6t53fjp7j7mcv,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,3mu342fj4dk2m,2026-08-27T14:53:46Z,"A federal appeals judge summed up the Trump regime's entire legal defense in one sentence: ""the President made us do this."" Tuesday. Page eight of the ruling.

www.dworkinsubstack.com/p/trump-came...",3mu3472gy5k2m,2026-08-27T14:56:22Z,"Trump's FCC tried to hand Republican committees the ad discount Congress wrote for candidates. A federal court killed it Tuesday. Nine days before it started.

www.dworkinsubstack.com/p/trump-came...",0.04,0.2200,0.1333,0.2085,0.0433,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu342fj4dk2m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu3472gy5k2m,"A federal appeals judge summed up the Trump regime's entire legal defense in one sentence: ""the President made us do this."" Tuesday. Page eight of the ruling.

www.dworkinsubstack.com/p/trump-came...","Trump's FCC tried to hand Republican committees the ad discount Congress wrote for candidates. A federal court killed it Tuesday. Nine days before it started.

www.dworkinsubstack.com/p/trump-came...",2026-08-27T14:53:46.013000+00:00,2026-08-27T14:56:22.182000+00:00,0.0434,0.1333,0.2085,105,23,105,23,82,4.5652,A,1,278,78,9,0,
did:plc:t57zckxuo4v6t53fjp7j7mcv,dworkin.bsky.social,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,3mu33xpnap22m,2026-08-27T14:52:15Z,Border Patrol took a deployed Navy sailor's father at a traffic stop in Key West. Three days later they let him go. Homeland Security still won't say why they did either one.,3mu342fj4dk2m,2026-08-27T14:53:46Z,"A federal appeals judge summed up the Trump regime's entire legal defense in one sentence: ""the President made us do this."" Tuesday. Page eight of the ruling.

www.dworkinsubstack.com/p/trump-came...",0.03,0.0678,0.0741,0.3158,0.0253,dworkinsubstack.com/p/trump-came-for-shelter-beds-the-airwaves,,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu33xpnap22m,at://did:plc:t57zckxuo4v6t53fjp7j7mcv/app.bsky.feed.post/3mu342fj4dk2m,Border Patrol took a deployed Navy sailor's father at a traffic stop in Key West. Three days later they let him go. Homeland Security still won't say why they did either one.,"A federal appeals judge summed up the Trump regime's entire legal defense in one sentence: ""the President made us do this."" Tuesday. Page eight of the ruling.

www.dworkinsubstack.com/p/trump-came...",2026-08-27T14:52:15.973000+00:00,2026-08-27T14:53:46.013000+00:00,0.025,0.0741,0.3158,26,105,105,26,79,4.0385,B,1,74,278,0,9,
did:plc:uk4m45qfhdzfim2ckqybtnql,hwww2-yves.bsky.social,docs.google.com/document/d/1lzOyIyd-d7Zl6NS_T4lkUotyGowWMr-nGO05qupmdZE/edit?usp=drivesdk,3mu2u6gt2y22q,2026-08-27T12:32:51Z,"#HWWW2_Pin

“เหม็นสาบเสียจริง”
“ไปให้พ้น”

Yves de Glace (17)
174 / 57 | เลือดบริสุทธิ์ | สลิธีริน ชั้นปีที่ 7

Info 🕊️—  docs.google.com/document/d/1...
dm, rp 24/7",3mu2xghl3m227,2026-08-27T13:31:02Z," #hwww2-costory

“อย่าไปเล่นกับพวกตัวสกปรกสิโคโค่”

🔁 : ช่วยหาเพื่อน
🤍 : สนใจโค เดี๋ยวก๊อกๆ ไปนะคะ

ดอค : docs.google.com/document/d/1...

(สลิธีรินชั้นปีเดียวกันเนียนรู้จักได้เลยนะคะ ยังไงก็ฝากอีตาคนนิสัยเสียไว้ด้วยค่ะ 🙇🙇 ลูกนิสัยไม่ดีแต่ผปคไม่กัดค่ะ! สัญญา! 😞🤙)",0.97,0.1757,0.169,0.1893,0.9697,docs.google.com/document/d/1lzOyIyd-d7Zl6NS_T4lkUotyGowWMr-nGO05qupmdZE/edit?usp=drivesdk,,at://did:plc:uk4m45qfhdzfim2ckqybtnql/app.bsky.feed.post/3mu2u6gt2y22q,at://did:plc:uk4m45qfhdzfim2ckqybtnql/app.bsky.feed.post/3mu2xghl3m227,"#HWWW2_Pin

“เหม็นสาบเสียจริง”
“ไปให้พ้น”

Yves de Glace (17)
174 / 57 | เลือดบริสุทธิ์ | สลิธีริน ชั้นปีที่ 7

Info 🕊️—  docs.google.com/document/d/1...
dm, rp 24/7"," #hwww2-costory

“อย่าไปเล่นกับพวกตัวสกปรกสิโคโค่”

🔁 : ช่วยหาเพื่อน
🤍 : สนใจโค เดี๋ยวก๊อกๆ ไปนะคะ

ดอค : docs.google.com/document/d/1...

(สลิธีรินชั้นปีเดียวกันเนียนรู้จักได้เลยนะคะ ยังไงก็ฝากอีตาคนนิสัยเสียไว้ด้วยค่ะ 🙇🙇 ลูกนิสัยไม่ดีแต่ผปคไม่กัดค่ะ! สัญญา! 😞🤙)",2026-08-27T12:32:51.668000+00:00,2026-08-27T13:31:02.106000+00:00,0.9696,0.169,0.1893,83,32,83,32,51,2.5938,A,1,101,11,0,1,
did:plc:7vb3nqbwxsgxzvukuddgttrw,divyampersaud.com,chuffed.org/project/erc,3mtzqszezuz2i,2026-08-27T02:00:07Z,"EMERGENCY 🚨 On Sunday, my friend was wounded in a bombing...the occupation wiped out a displacement camp of 25 families. They have lost EVERYTHING. This is a rapid relief effort for about a hundred people in Gaza.

Any and all boldness, even a dollar, is HOPE! chuffed.org/project/erc",3mtzsvciw5s22,2026-08-27T02:37:11Z,"This schematic summarizes what we're trying to get for these families, around 100 people or more in Gaza. They need tarps for shelter, replacement supplies like clothes (EVERYTHING was destroyed, imagine that!!!!), water tanks for the camp to be able to drink, and bathrooms. chuffed.org/project/erc",0.62,0.2192,0.2192,0.1004,0.6178,chuffed.org/project/erc,,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mtzqszezuz2i,at://did:plc:7vb3nqbwxsgxzvukuddgttrw/app.bsky.feed.post/3mtzsvciw5s22,"EMERGENCY 🚨 On Sunday, my friend was wounded in a bombing...the occupation wiped out a displacement camp of 25 families. They have lost EVERYTHING. This is a rapid relief effort for about a hundred people in Gaza.

Any and all boldness, even a dollar, is HOPE! chuffed.org/project/erc","This schematic summarizes what we're trying to get for these families, around 100 people or more in Gaza. They need tarps for shelter, replacement supplies like clothes (EVERYTHING was destroyed, imagine that!!!!), water tanks for the camp to be able to drink, and bathrooms. chuffed.org/project/erc",2026-08-27T02:00:07.497000+00:00,2026-08-27T02:37:11.676000+00:00,0.6178,0.2192,0.1004,71,10,71,10,61,7.1,A,1,54,8,12,0,
